question,answer,category
Sample customer question 1?,Sample answer 1.,Category2
Sample customer question 2?,Sample answer 2.,Category3
Sample customer question 3?,Sample answer 3.,Category4
Sample customer question 4?,Sample answer 4.,Category5
Sample customer question 5?,Sample answer 5.,Category1
Sample customer question 6?,Sample answer 6.,Category2
Sample customer question 7?,Sample answer 7.,Category3
Sample customer question 8?,Sample answer 8.,Category4
Sample customer question 9?,Sample answer 9.,Category5
Sample customer question 10?,Sample answer 10.,Category1
Sample customer question 11?,Sample answer 11.,Category2
Sample customer question 12?,Sample answer 12.,Category3
Sample customer question 13?,Sample answer 13.,Category4
Sample customer question 14?,Sample answer 14.,Category5
Sample customer question 15?,Sample answer 15.,Category1
Sample customer question 16?,Sample answer 16.,Category2
Sample customer question 17?,Sample answer 17.,Category3
Sample customer question 18?,Sample answer 18.,Category4
Sample customer question 19?,Sample answer 19.,Category5
Sample customer question 20?,Sample answer 20.,Category1
Sample customer question 21?,Sample answer 21.,Category2
Sample customer question 22?,Sample answer 22.,Category3
Sample customer question 23?,Sample answer 23.,Category4
Sample customer question 24?,Sample answer 24.,Category5
Sample customer question 25?,Sample answer 25.,Category1
Sample customer question 26?,Sample answer 26.,Category2
Sample customer question 27?,Sample answer 27.,Category3
Sample customer question 28?,Sample answer 28.,Category4
Sample customer question 29?,Sample answer 29.,Category5
Sample customer question 30?,Sample answer 30.,Category1
Sample customer question 31?,Sample answer 31.,Category2
Sample customer question 32?,Sample answer 32.,Category3
Sample customer question 33?,Sample answer 33.,Category4
Sample customer question 34?,Sample answer 34.,Category5
Sample customer question 35?,Sample answer 35.,Category1
Sample customer question 36?,Sample answer 36.,Category2
Sample customer question 37?,Sample answer 37.,Category3
Sample customer question 38?,Sample answer 38.,Category4
Sample customer question 39?,Sample answer 39.,Category5
Sample customer question 40?,Sample answer 40.,Category1
Sample customer question 41?,Sample answer 41.,Category2
Sample customer question 42?,Sample answer 42.,Category3
Sample customer question 43?,Sample answer 43.,Category4
Sample customer question 44?,Sample answer 44.,Category5
Sample customer question 45?,Sample answer 45.,Category1
Sample customer question 46?,Sample answer 46.,Category2
Sample customer question 47?,Sample answer 47.,Category3
Sample customer question 48?,Sample answer 48.,Category4
Sample customer question 49?,Sample answer 49.,Category5
Sample customer question 50?,Sample answer 50.,Category1
Sample customer question 51?,Sample answer 51.,Category2
Sample customer question 52?,Sample answer 52.,Category3
Sample customer question 53?,Sample answer 53.,Category4
Sample customer question 54?,Sample answer 54.,Category5
Sample customer question 55?,Sample answer 55.,Category1
Sample customer question 56?,Sample answer 56.,Category2
Sample customer question 57?,Sample answer 57.,Category3
Sample customer question 58?,Sample answer 58.,Category4
Sample customer question 59?,Sample answer 59.,Category5
Sample customer question 60?,Sample answer 60.,Category1
Sample customer question 61?,Sample answer 61.,Category2
Sample customer question 62?,Sample answer 62.,Category3
Sample customer question 63?,Sample answer 63.,Category4
Sample customer question 64?,Sample answer 64.,Category5
Sample customer question 65?,Sample answer 65.,Category1
Sample customer question 66?,Sample answer 66.,Category2
Sample customer question 67?,Sample answer 67.,Category3
Sample customer question 68?,Sample answer 68.,Category4
Sample customer question 69?,Sample answer 69.,Category5
Sample customer question 70?,Sample answer 70.,Category1
Sample customer question 71?,Sample answer 71.,Category2
Sample customer question 72?,Sample answer 72.,Category3
Sample customer question 73?,Sample answer 73.,Category4
Sample customer question 74?,Sample answer 74.,Category5
Sample customer question 75?,Sample answer 75.,Category1
Sample customer question 76?,Sample answer 76.,Category2
Sample customer question 77?,Sample answer 77.,Category3
Sample customer question 78?,Sample answer 78.,Category4
Sample customer question 79?,Sample answer 79.,Category5
Sample customer question 80?,Sample answer 80.,Category1
Sample customer question 81?,Sample answer 81.,Category2
Sample customer question 82?,Sample answer 82.,Category3
Sample customer question 83?,Sample answer 83.,Category4
Sample customer question 84?,Sample answer 84.,Category5
Sample customer question 85?,Sample answer 85.,Category1
Sample customer question 86?,Sample answer 86.,Category2
Sample customer question 87?,Sample answer 87.,Category3
Sample customer question 88?,Sample answer 88.,Category4
Sample customer question 89?,Sample answer 89.,Category5
Sample customer question 90?,Sample answer 90.,Category1
Sample customer question 91?,Sample answer 91.,Category2
Sample customer question 92?,Sample answer 92.,Category3
Sample customer question 93?,Sample answer 93.,Category4
Sample customer question 94?,Sample answer 94.,Category5
Sample customer question 95?,Sample answer 95.,Category1
Sample customer question 96?,Sample answer 96.,Category2
Sample customer question 97?,Sample answer 97.,Category3
Sample customer question 98?,Sample answer 98.,Category4
Sample customer question 99?,Sample answer 99.,Category5
Sample customer question 100?,Sample answer 100.,Category1
Sample customer question 101?,Sample answer 101.,Category2
Sample customer question 102?,Sample answer 102.,Category3
Sample customer question 103?,Sample answer 103.,Category4
Sample customer question 104?,Sample answer 104.,Category5
Sample customer question 105?,Sample answer 105.,Category1
Sample customer question 106?,Sample answer 106.,Category2
Sample customer question 107?,Sample answer 107.,Category3
Sample customer question 108?,Sample answer 108.,Category4
Sample customer question 109?,Sample answer 109.,Category5
Sample customer question 110?,Sample answer 110.,Category1
Sample customer question 111?,Sample answer 111.,Category2
Sample customer question 112?,Sample answer 112.,Category3
Sample customer question 113?,Sample answer 113.,Category4
Sample customer question 114?,Sample answer 114.,Category5
